AuthorityId,Country,Year,Family,SpeciesId,Species,sp_code,sp_n,sp_kg
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scombridae","411c2260-e9a3-4ce9-805c-f4326837b37f","Thunnus alalunga","ALB","1","5"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scombridae","1e4ce32f-7a49-4f2b-9c27-0fa173319b1c","Thunnus albacares","YFT","3","11"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scombridae","aca37e1b-edbd-46b6-9f46-df1018dab9a4","Thunnus obesus","BET","1","6"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Siganidae","b0a8e08a-2805-41f0-88bb-ba41b0fb0508","Siganus doliatus","IGD","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Siganidae","aa145a12-3a33-47b2-9081-eb4be62bb397","Siganus punctatus","IGC","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Siganidae","98df517e-b1d4-4e95-a345-a6cb524f033f","Siganus rivulatus","","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Siganidae","1c2985b4-8327-454e-809a-1e65a7a433d5","Siganus vermiculatus","IUE","6","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Sphyraenidae","ccd05a40-64c5-46cc-b6c8-7be1da643490","Sphyraena barracuda","GBA","11","22"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Sphyraenidae","9a30dccf-bd3e-470b-a476-b135c2818bf2","Sphyraena forsteri","YBS","33","21"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Sphyraenidae","d2e0d1f9-8377-4067-99b2-abe8bc4689e7","Sphyraena obtusata","YRB","1","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Sphyraenidae","5b18dc07-65a8-47cc-856b-0e391756cbbc","Sphyraena qenie","BAB","20","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Terapontidae","6ad5226c-ecb2-46fd-8fc4-2417099ffc10","Terapon jarbua","TJB","1","1"
